,City,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed,Lat,Long
124,Lugovoy,100,KZ,1580536931,71,274.81,2.14,42.95,72.76
125,Tessalit,0,ML,1580536384,17,290.58,3.42,20.2,1.01
126,Rock Springs,1,US,1580536934,79,270.15,8.7,41.59,-109.2
127,Naze,75,JP,1580536344,45,290.15,4.6,28.37,129.48
128,Constitucion,0,CL,1580536936,81,287.45,0.9,-35.33,-72.42
129,Zaltan,64,LY,1580536812,65,288.24,0.4,32.95,11.87
130,Kahului,20,US,1580536938,64,297.15,7.2,20.89,-156.47
131,Chokurdakh,100,RU,1580536940,97,243.24,1.78,70.63,147.92
132,Oodweyne,100,SO,1580536941,29,295.99,1.28,9.41,45.06
133,Longyearbyen,90,SJ,1580536759,73,268.15,7.7,78.22,15.64
134,Korla,0,CN,1580536943,89,273.15,2.0,41.76,86.15
135,Mocuba,100,MZ,1580536945,86,297.81,1.86,-16.84,36.99
136,Saint-Philippe,34,RE,1580536946,65,301.15,12.3,-21.36,55.77
137,Saint-Pierre,17,RE,1580536410,65,302.04,12.3,-21.34,55.48
138,Vanimo,100,PG,1580536948,78,299.55,5.43,-2.67,141.3
139,Saint-Paul,75,RE,1580536949,65,301.15,9.3,-21.01,55.27
140,Amboise,100,FR,1580536951,93,285.15,6.7,47.41,0.98
141,Portland,90,US,1580536810,82,288.15,3.1,45.52,-122.68
142,Marau,0,BR,1580536953,97,288.4,0.71,-28.45,-52.2
143,Airai,100,TL,1580536954,83,297.8,1.1,-8.93,125.41
144,Chumphon,57,TH,1580536955,56,302.96,5.0,10.33,98.83
145,Kenora,90,CA,1580536957,85,269.15,6.2,49.82,-94.43
146,Zhigansk,95,RU,1580536958,95,243.78,1.08,66.77,123.37
147,Asau,75,RO,1580536959,80,282.04,0.5,46.43,26.4
148,Paamiut,80,GL,1580536755,61,262.94,3.63,61.99,-49.67
149,Yiyang,91,CN,1580536962,67,285.2,1.9,28.59,112.33
150,Pevek,11,RU,1580536963,100,240.41,1.41,69.7,170.31
151,Saint-Louis,0,SN,1580536964,13,292.67,4.07,16.33,-15.0
152,General Roca,0,AR,1580536965,41,297.15,5.1,-39.03,-67.58
153,Port Elizabeth,75,ZA,1580536966,94,294.15,3.6,-33.92,25.57
154,Tuatapere,100,NZ,1580536619,59,293.6,2.82,-46.13,167.68
155,Nyrob,100,RU,1580536969,93,269.06,4.69,60.73,56.72
156,Mathbaria,0,BD,1580536970,33,299.18,1.89,22.29,89.96
157,Fairbanks,90,US,1580536220,75,247.15,0.48,64.84,-147.72
158,Brae,100,GB,1580536972,93,279.15,8.7,60.4,-1.35
159,Cooma,40,AU,1580536974,22,310.15,7.7,-36.23,149.13
160,Kavieng,84,PG,1580536975,75,302.5,6.54,-2.57,150.8
161,Adrar,0,MR,1580536976,15,288.02,5.21,20.5,-10.07
162,Tuktoyaktuk,20,CA,1580536977,66,239.15,4.6,69.45,-133.04
163,Samoylovka,97,RU,1580536979,96,273.15,1.34,51.18,43.71
164,Cape Town,79,ZA,1580536288,77,294.26,4.6,-33.93,18.42
165,Grand Gaube,40,MU,1580536981,78,301.48,6.7,-20.01,57.66
166,Shelburne,75,CA,1580536983,92,270.37,1.5,44.08,-80.2
167,Uuemoisa,75,EE,1580536984,93,277.04,3.6,58.94,23.59
168,Abu Samrah,64,SY,1580536985,71,280.06,6.19,35.3,37.18
169,Husavik,90,IS,1580536686,92,272.15,5.72,66.04,-17.34
170,Sabang,60,ID,1580536987,78,301.02,7.84,5.89,95.32
171,San Patricio,100,MX,1580536523,75,297.4,1.7,19.22,-104.7
172,Laguna,1,US,1580536990,93,285.37,1.5,38.42,-121.42
173,Severobaykalsk,100,RU,1580536991,80,256.93,3.71,55.65,109.32
174,Mount Pleasant,90,US,1580536915,100,279.82,2.1,32.79,-79.86
175,Codrington,100,AU,1580536993,75,288.73,6.67,-38.27,141.97
176,Westport,90,US,1580536780,93,277.15,1.97,41.14,-73.36
177,Lagoa,100,PT,1580536996,90,289.42,13.45,39.05,-27.98
178,Damaturu,21,NG,1580536997,38,287.77,4.25,11.75,11.96
179,Kindersley,75,CA,1580536828,58,272.04,7.2,51.47,-109.17
180,Klaksvik,57,FO,1580536999,74,274.15,6.2,62.23,-6.59
181,Nome,90,US,1580537001,76,252.15,3.6,64.5,-165.41
182,Hasaki,20,JP,1580537002,34,288.15,5.7,35.73,140.83
183,Atbasar,100,KZ,1580537003,80,261.19,3.76,51.8,68.33
184,Bagdarin,43,RU,1580537004,64,251.56,3.71,54.43,113.6
185,Zaranj,0,AF,1580537005,65,281.15,5.1,30.97,61.88
186,Cherskiy,9,RU,1580537007,98,237.74,2.23,68.75,161.3
187,Touros,40,BR,1580537008,88,298.15,1.5,-5.2,-35.46
188,Saldanha,0,ZA,1580537009,82,289.15,1.0,-33.01,17.94
189,Kodiak,90,US,1580537010,66,264.15,8.2,57.79,-152.41
190,Yeppoon,40,AU,1580537011,52,304.15,3.6,-23.13,150.73
191,Olinda,40,BR,1580536871,74,301.15,1.0,-8.01,-34.86
192,Grand-Santi,99,GF,1580537014,99,293.52,1.06,4.25,-54.38
193,Ponta do Sol,20,PT,1580536522,51,292.04,1.0,32.67,-17.1
194,Crotone,56,IT,1580537016,75,283.04,0.65,39.09,17.12
195,Biltine,41,TD,1580537018,17,289.2,5.75,14.53,20.92
196,Flinders,46,AU,1580537019,29,314.26,5.7,-34.58,150.86
197,Terekli-Mekteb,100,RU,1580537020,74,276.3,4.54,44.17,45.87
198,Aklavik,90,CA,1580536442,67,240.15,1.5,68.22,-135.01
199,Lumeje,98,AO,1580537022,93,292.32,2.79,-11.55,20.78
200,Linqiong,75,CN,1580537023,87,282.15,3.0,30.42,103.46
201,Ambilobe,94,MG,1580537025,72,300.96,1.78,-13.2,49.05
202,Coyhaique,90,CL,1580536588,72,288.15,2.6,-45.58,-72.07
203,Padilla,75,CO,1580537027,88,295.15,3.1,3.22,-76.31
204,Vestmannaeyjar,97,IS,1580537028,70,272.67,7.44,63.44,-20.27
205,Visby,100,SE,1580537029,93,279.26,5.7,57.64,18.3
206,Miraflores,75,MX,1580537031,39,290.15,2.6,19.22,-98.81
207,Aswan,0,EG,1580537032,54,285.39,3.87,24.09,32.91
208,Havre-Saint-Pierre,1,CA,1580537033,77,256.15,1.0,50.23,-63.6
209,Khombole,0,SN,1580537034,33,298.15,8.2,14.77,-16.7
210,Xinqing,96,CN,1580537035,84,259.54,3.27,48.23,129.5
211,Oktyabrskoye,90,RU,1580537037,96,273.15,1.0,43.06,44.74
212,Mount Gambier,99,AU,1580536519,72,290.15,5.7,-37.83,140.77
213,Bowen,40,AU,1580537039,55,304.26,7.2,-20.02,148.23
214,Leningradskiy,90,RU,1580537040,97,241.41,3.37,69.38,178.42
215,Kabalo,100,CD,1580537041,96,295.27,0.51,-6.05,26.92
216,Manchester,75,GB,1580537011,70,283.15,5.7,53.48,-2.24
217,Dandong,0,CN,1580537005,40,273.23,6.13,40.13,124.39
218,North Bend,75,US,1580537045,87,286.15,1.69,43.41,-124.22
219,Santa Rosa,20,PH,1580536949,51,303.15,5.7,14.31,121.11
220,Ballina,0,AU,1580537047,66,307.15,9.3,-28.87,153.57
221,Souillac,40,MU,1580536526,78,301.48,6.7,-20.52,57.52
222,Avarua,25,CK,1580537050,88,299.15,2.1,-21.21,-159.78
223,Tigil,3,RU,1580537051,98,248.77,1.18,57.8,158.67
224,Pringsewu,23,ID,1580537052,65,302.55,2.81,-5.36,104.97
225,Teshie,20,GH,1580537053,94,300.15,2.1,5.58,-0.11
226,Mayumba,99,GA,1580537055,79,300.68,1.7,-3.43,10.66
227,Challapata,83,BO,1580537056,65,284.88,1.49,-18.9,-66.77
228,Ust-Nera,100,RU,1580537057,100,238.18,0.38,64.57,143.2
229,Erzurum,75,TR,1580537058,85,266.15,2.1,40.0,41.5
230,Cairns,42,AU,1580537059,62,304.15,4.6,-16.92,145.77
231,Denpasar,40,ID,1580536829,79,304.15,4.6,-8.65,115.22
232,Kasulu,20,TZ,1580537062,94,294.15,1.01,-4.58,30.1
233,Zhicheng,59,CN,1580537063,63,284.26,2.35,30.3,111.5
234,Nishihara,40,JP,1580537064,45,291.15,6.7,26.18,127.76
235,Bojonegoro,100,ID,1580537065,79,301.52,2.82,-7.15,111.88
236,Saskylakh,100,RU,1580536705,96,239.94,3.8,71.92,114.08
237,Chifeng,1,CN,1580536984,21,269.3,4.17,42.27,118.96
238,Parauna,95,BR,1580537069,97,294.52,1.12,-16.95,-50.45
239,La Ronge,5,CA,1580536984,73,269.15,2.6,55.1,-105.28
240,Karasburg,17,NA,1580537071,33,298.77,0.99,-28.02,18.75
241,Port Blair,55,IN,1580537073,75,300.05,7.14,11.67,92.75
242,Capitan Bado,26,PY,1580537074,91,294.43,0.69,-23.27,-55.53
243,Tsimmerbude,75,RU,1580537075,100,279.15,4.0,54.67,20.13
244,Albeni,97,RO,1580537076,86,279.18,1.6,45.03,23.6
245,Kologriv,83,RU,1580537077,97,258.29,0.86,58.83,44.32
246,Gandorhun,57,SL,1580537079,98,295.9,0.67,7.5,-11.83
247,Broken Hill,100,AU,1580537080,37,309.15,7.7,-31.95,141.43
248,Grootfontein,20,NA,1580537081,77,291.15,1.5,-19.57,18.12
249,Alofi,90,NU,1580537082,79,302.15,5.1,-19.06,-169.92
250,Bolzano,12,IT,1580537083,73,275.37,0.37,46.49,11.33
251,Banda Aceh,56,ID,1580536508,53,305.01,4.23,5.56,95.32
252,Ulloa,20,CO,1580537086,83,294.15,5.1,4.7,-75.74
253,Sao Jose de Mipibu,40,BR,1580537063,88,299.15,1.5,-6.07,-35.24
254,Tabanan,40,ID,1580537088,79,304.15,4.6,-8.54,115.13
255,College,90,US,1580537089,75,248.71,0.38,64.86,-147.8
256,Marquette,90,US,1580537091,92,271.48,5.1,46.53,-87.63
257,Williamsburg,90,US,1580537092,93,279.26,1.64,37.27,-76.71
258,Qaanaaq,100,GL,1580536608,99,242.33,0.4,77.48,-69.36
259,Biak,100,ID,1580537094,66,303.49,5.38,-0.91,122.88
260,Enshi,95,CN,1580537095,80,278.9,0.41,30.3,109.48
261,Semikarakorsk,90,RU,1580537096,100,272.15,5.0,47.52,40.81
262,Otukpo,16,NG,1580537098,25,290.96,1.08,7.19,8.13
263,Armidale,47,AU,1580537099,51,301.74,2.74,-30.52,151.65
264,Puerto Padre,5,CU,1580537100,100,294.15,1.5,21.2,-76.6
265,Jerome,1,US,1580537101,86,274.26,8.7,42.72,-114.52
266,Kysyl-Syr,95,RU,1580537103,98,247.24,1.68,63.9,122.76
267,Mossamedes,96,AO,1580537104,87,297.83,2.55,-15.2,12.15
268,Manyana,1,BW,1580537105,37,297.01,6.67,-23.4,21.72
269,Udachny,95,RU,1580536934,75,244.15,1.0,66.42,112.4
270,Kaitangata,100,NZ,1580537107,56,292.8,11.52,-46.28,169.85
271,Cortez,1,US,1580537109,47,274.15,3.02,37.35,-108.59
272,Tabou,56,CI,1580536517,92,297.44,0.77,4.42,-7.35
273,Patacamaya,100,BO,1580537111,93,279.4,2.36,-17.23,-67.92
274,Necochea,1,AR,1580537112,87,289.26,1.34,-38.55,-58.74
275,Orangeburg,90,US,1580537113,100,279.15,2.6,33.49,-80.86
276,Paita,43,PE,1580537115,72,297.99,3.59,-5.09,-81.11
277,Auki,100,SB,1580537116,88,298.87,2.05,-8.77,160.7
278,Saint-Francois,48,FR,1580537117,87,280.37,2.6,46.42,3.91
279,Sao Joao da Barra,100,BR,1580536898,90,298.68,3.3,-21.64,-41.05
280,Suda,90,RU,1580537119,92,266.15,1.0,59.15,37.56
281,Litovko,75,RU,1580537121,92,257.57,2.07,49.24,135.17
282,Cidreira,6,BR,1580536546,86,296.4,2.17,-30.18,-50.21
283,Palmares do Sul,36,BR,1580537123,90,294.52,2.3,-30.26,-50.51
284,Samarai,100,PG,1580537124,64,304.27,1.41,-10.62,150.67
285,Pacific Grove,1,US,1580537038,87,287.59,1.99,36.62,-121.92
286,Luanda,75,AO,1580537019,83,300.15,1.0,-8.84,13.23
287,Yar-Sale,63,RU,1580537128,100,244.8,5.14,66.83,70.83
288,Bohonye,0,HU,1580537129,100,278.71,1.5,46.41,17.38
289,Bethel,90,US,1580537130,97,276.15,1.12,41.37,-73.41
290,Pekan,40,MY,1580537131,66,304.15,5.7,3.48,103.4
291,Vardo,95,NO,1580537132,90,264.57,12.92,70.37,31.11
292,Portobelo,45,PA,1580537134,88,299.15,2.32,9.55,-79.65
293,Phibun Mangsahan,20,TH,1580537135,35,304.58,1.77,15.24,105.23
294,Whitehorse,75,CA,1580537136,78,262.15,3.1,60.72,-135.05
295,Chu,100,KZ,1580537046,70,272.59,0.45,43.6,73.76
296,Bambanglipuro,86,ID,1580537139,65,303.52,2.92,-7.95,110.28
297,Chalus,20,IR,1580536913,76,284.15,10.8,36.66,51.42
298,Hong Kong,20,HK,1580536409,49,294.82,8.2,22.29,114.16
299,Ngama,38,TD,1580537142,17,288.7,4.48,11.78,17.17
300,Pokhara,12,NP,1580537144,53,291.1,1.95,28.23,83.98
301,Simdega,0,IN,1580537145,25,296.33,2.58,22.62,84.52
302,Luderitz,90,NA,1580536595,82,292.15,8.7,-26.65,15.16
303,Ugoofaaru,4,MV,1580537147,73,300.67,6.83,5.67,73.0
304,Virarajendrapet,20,IN,1580537148,79,303.15,0.5,12.2,75.8
305,Makakilo City,1,US,1580537150,69,298.15,1.5,21.35,-158.09
306,Constantine,75,DZ,1580536966,93,276.15,2.1,36.37,6.61
307,Lufilufi,97,WS,1580537152,80,300.75,4.83,-13.87,-171.6
308,Ocos,20,GT,1580537153,100,296.15,1.39,14.51,-92.19
309,Kuching,75,MY,1580537142,70,304.15,4.6,1.55,110.33
310,Awjilah,0,LY,1580537155,63,284.76,1.37,29.11,21.29
311,Krasnystaw,90,PL,1580537157,100,279.15,1.5,50.98,23.17
312,Gaffney,90,US,1580536923,100,277.15,2.6,35.07,-81.65
313,Isabela,75,PH,1580537159,66,303.15,4.1,6.71,121.97
314,Humberto de Campos,95,BR,1580537126,96,296.62,1.52,-2.6,-43.46
315,Dudinka,20,RU,1580537161,73,239.15,4.0,69.41,86.18
316,Chui,0,UY,1580537163,88,290.33,1.25,-33.7,-53.46
317,Poum,17,NC,1580537164,78,300.49,8.29,-20.23,164.02
318,Kodinsk,97,RU,1580537165,91,248.89,2.21,58.69,99.18
319,Kargil,87,IN,1580537166,65,256.12,0.66,34.57,76.1
320,Goksun,40,TR,1580537167,35,277.15,3.1,38.02,36.5
321,Rawson,57,AR,1580536434,52,292.32,6.05,-43.3,-65.1
322,Mehamn,58,NO,1580537170,97,260.21,9.98,71.04,27.85
323,Potosi,100,BO,1580537171,95,281.96,1.79,-19.58,-65.75
324,Kimovsk,74,RU,1580537172,97,268.81,2.49,53.97,38.53
325,Ucluelet,100,CA,1580537065,94,284.26,1.79,48.93,-125.55
326,Edd,70,ER,1580537174,53,299.79,1.61,13.93,41.69
327,Taltal,0,CL,1580537176,90,288.99,1.19,-25.4,-70.48
328,Chernyshevskiy,98,RU,1580537177,92,244.37,3.09,63.01,112.47
329,Kahuta,0,PK,1580537178,66,286.15,2.1,33.59,73.39
330,Talara,31,PE,1580537179,91,296.3,5.62,-4.58,-81.27
331,Calabar,95,NG,1580537180,89,297.2,0.62,4.95,8.32
332,Sao Filipe,0,CV,1580537182,39,298.95,6.45,14.9,-24.5
333,Douglas,90,US,1580537101,86,274.15,2.39,41.3,-96.17
334,Singkang,40,MY,1580537184,66,304.15,4.1,2.1,102.8
335,San Cristobal,20,VE,1580537185,78,298.15,1.5,7.77,-72.22
336,Yulara,35,AU,1580537186,39,308.15,7.7,-25.24,130.99
337,Tuim,96,RU,1580537188,85,254.69,1.69,54.34,89.93
338,Salalah,15,OM,1580537071,31,296.15,2.6,17.02,54.09
339,Ahar,81,IR,1580537190,89,268.99,1.66,38.48,47.07
340,Dickinson,1,US,1580537191,100,284.15,2.65,29.46,-95.05
341,Kolodeznyy,90,RU,1580537192,95,274.15,4.0,51.33,39.18
342,Ullapool,100,GB,1580537194,91,281.48,0.89,57.9,-5.16
343,Vostok,51,RU,1580537195,80,263.61,1.43,46.49,135.88
344,Manaure,26,CO,1580537196,84,299.31,7.85,11.78,-72.44
345,Dingle,96,PH,1580537197,78,298.15,6.83,11.0,122.67
346,Clyde River,90,CA,1580536651,74,243.15,5.1,70.47,-68.59
347,Port Lincoln,56,AU,1580537200,52,293.37,7.21,-34.73,135.87
348,Kailua,75,US,1580537201,69,298.15,3.6,21.4,-157.74
349,Huaihua,100,CN,1580537202,88,281.14,0.33,27.55,109.96
350,Krasnosel'kup,97,RU,1580537203,98,244.19,3.58,65.7,82.47
351,Bonavista,100,CA,1580537204,83,265.37,8.49,48.65,-53.11
352,Sechura,14,PE,1580537206,86,296.14,3.76,-5.56,-80.82
353,Jutai,100,BR,1580537207,97,296.33,0.47,-5.18,-68.9
354,Kadhan,0,PK,1580537208,17,296.9,3.41,24.48,68.99
355,Baruun-Urt,6,MN,1580537209,78,255.13,2.37,46.68,113.28
356,Praia da Vitoria,75,PT,1580537210,88,292.15,12.84,38.73,-27.07
357,Jatiroto,96,ID,1580537212,73,301.46,0.05,-7.88,111.12
358,Shadrinsk,100,RU,1580537213,87,262.33,5.4,56.09,63.63
359,Revuca,20,SK,1580537214,81,279.15,6.7,48.68,20.12
360,Camacupa,90,AO,1580537215,94,290.95,2.61,-12.02,17.48
361,Parambu,100,BR,1580537216,97,293.27,1.4,-6.21,-40.69
362,Olafsvik,99,IS,1580537218,80,272.6,6.74,64.89,-23.71
363,Umm Kaddadah,4,SD,1580537219,26,287.08,6.51,13.6,26.69
364,Fortuna,90,US,1580537220,100,282.59,1.31,40.6,-124.16
365,Omsukchan,47,RU,1580537221,85,246.27,1.98,62.53,155.8
366,Mayo,1,US,1580537222,100,277.04,1.24,38.89,-76.51
367,Hofn,63,IS,1580537224,61,275.02,5.47,64.25,-15.21
368,Sardarshahr,0,IN,1580537225,30,291.0,0.09,28.43,74.48
369,Japura,77,ID,1580537226,60,305.02,1.02,-0.32,102.35
370,Aleksandrovsk-Sakhalinskiy,7,RU,1580537227,95,257.98,2.46,50.9,142.16
371,Amapa,96,BR,1580537228,99,293.77,0.6,1.0,-52.0
372,Willmar,90,US,1580537230,86,274.15,6.7,45.12,-95.04
373,Dangriga,0,BZ,1580537231,96,296.48,3.94,16.97,-88.23
374,Avanuorri,20,NO,1580537232,73,266.15,20.6,71.0,24.66
